,publishedAt,authorDisplayName,textDisplay,text_clean,normalized_text,text_token,text_stemindo,polarity_score,polarity
13,2023-10-06T07:52:50Z,@AntoToken,Bangun aplikasi sendiri khususnya  mengutamakan produk lokal,bangun aplikasi sendiri khususnya  mengutamakan produk lokal,bangun aplikasi sendiri khususnya  mengutamakan produk lokal,"['bangun', 'aplikasi', 'sendiri', 'khususnya', 'mengutamakan', 'produk', 'lokal']",bangun aplikasi sendiri khusus utama produk lokal,-4,negatif
14,2023-10-05T20:46:32Z,@anggasadewa1305,Pusing pusing dan yang orang2 OKB yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua,pusing pusing dan yang orang okb yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua,pusing pusing dan yang orang okb yang baru mau kayak gara gara aplikasi tiktok wow di tutup yang ada cicilan mobil rumah pada puyeng semua,"['pusing', 'pusing', 'dan', 'yang', 'orang', 'okb', 'yang', 'baru', 'mau', 'kayak', 'gara', 'gara', 'aplikasi', 'tiktok', 'wow', 'di', 'tutup', 'yang', 'ada', 'cicilan', 'mobil', 'rumah', 'pada', 'puyeng', 'semua']",pusing pusing dan yang orang okb yang baru mau kayak gara gara aplikasi tiktok wow di tutup yang ada cicil mobil rumah pada puyeng semua,-37,negatif
15,2023-10-05T20:27:19Z,@defa113,"Alhamdulillah kerja bagus buat pemerintah, yang jual banyak flexing memamerkan orderan penghasilan 😅😂 Udah mendingan balik ke mode awal joged joged 🤣😂🐷💩",alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan  udah mendingan balik ke mode awal joged joged ,alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan  sudah mendingan balik ke mode awal joged joged ,"['alhamdulillah', 'kerja', 'bagus', 'buat', 'pemerintah', 'yang', 'jual', 'banyak', 'flexing', 'memamerkan', 'orderan', 'penghasilan', 'sudah', 'mendingan', 'balik', 'ke', 'mode', 'awal', 'joged', 'joged']",alhamdulillah kerja bagus buat perintah yang jual banyak flexing pamer order hasil sudah mending balik ke mode awal joged joged,13,positif
16,2023-10-05T17:36:54Z,@marofficial5339,Dimana keadilan ini,dimana keadilan ini,dimana keadilan ini,"['dimana', 'keadilan', 'ini']",mana adil ini,4,positif
17,2023-10-05T17:07:06Z,@Zakariahhadi,Alhamdulillah semoga UMKM Indonesia bisa jalan lagi terutama yang offline,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,"['alhamdulillah', 'semoga', 'umkm', 'indonesia', 'bisa', 'jalan', 'lagi', 'terutama', 'yang', 'offline']",alhamdulillah moga umkm indonesia bisa jalan lagi utama yang offline,-2,negatif
18,2023-10-06T01:27:46Z,@HardyOkeyyy-yr3xd,Alhamdulillah puji tuhan,alhamdulillah puji tuhan,alhamdulillah puji tuhan,"['alhamdulillah', 'puji', 'tuhan']",alhamdulillah puji tuhan,12,positif
19,2023-10-05T15:43:28Z,@azrumhe,"Maaf ,di inggris sudah dilarang dan biasa saja",maaf di inggris sudah dilarang dan biasa saja,maaf di inggris sudah dilarang dan biasa saja,"['maaf', 'di', 'inggris', 'sudah', 'dilarang', 'dan', 'biasa', 'saja']",maaf di inggris sudah larang dan biasa saja,1,positif
20,2023-10-05T13:32:43Z,@sitiridwan7310,❤terimakasih tiktok ditutup❤.. Aku masih cinta indonesiaku❤,terimakasih tiktok ditutup aku masih cinta indonesiaku,terimakasih tiktok ditutup aku masih cinta indonesiaku,"['terimakasih', 'tiktok', 'ditutup', 'aku', 'masih', 'cinta', 'indonesiaku']",terimakasih tiktok tutup aku masih cinta indonesia,8,positif
21,2023-10-05T11:25:51Z,@user-ln1pp8hn7d,"KAMI ANAK MUDA DIGITALISASI SANGGUP BERKOMPETISI DENGAN KEMAJUAN JAMAN, KAMI BUKAN ANAK CENGENG APAPUN KONDISINYA KAMI AKAN SELALU FIGHT MESKI BANYAK YANG TIDAK SUKA DENGAN CARA KAMI BEKERJA, SAMA KAYA DULU OJOL DI KOMPLAIN SAMA OPANG SEE U DI APLIKASI LAIN NYA SEE U PARA UMKM OFFLINE SAMPAI KETEMU DI TITIK TAKDIR YANG BAIK MENURUT TUHAN",kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kaya dulu ojol di komplain sama opang see u di aplikasi lain nya see u para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kayak dulu ojol di komplain sama opang sih lu di aplikasi lain nya sih lu para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,"['kami', 'anak', 'muda', 'digitalisasi', 'sanggup', 'berkompetisi', 'dengan', 'kemajuan', 'jaman', 'kami', 'bukan', 'anak', 'cengeng', 'apapun', 'kondisinya', 'kami', 'akan', 'selalu', 'fight', 'meski', 'banyak', 'yang', 'tidak', 'suka', 'dengan', 'cara', 'kami', 'bekerja', 'sama', 'kayak', 'dulu', 'ojol', 'di', 'komplain', 'sama', 'opang', 'sih', 'lu', 'di', 'aplikasi', 'lain', 'nya', 'sih', 'lu', 'para', 'umkm', 'offline', 'sampai', 'ketemu', 'di', 'titik', 'takdir', 'yang', 'baik', 'menurut', 'tuhan']",kami anak muda digitalisasi sanggup kompetisi dengan maju jaman kami bukan anak cengeng apa kondisi kami akan selalu fight meski banyak yang tidak suka dengan cara kami kerja sama kayak dulu ojol di komplain sama opang sih lu di aplikasi lain nya sih lu para umkm offline sampai ketemu di titik takdir yang baik turut tuhan,-27,negatif
22,2023-10-05T08:29:11Z,@user-pf8jb8po9h,kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada,kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada,kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada,"['kenapa', 'harus', 'di', 'tutup', 'tiktokshop', 'warga', 'senang', 'dengan', 'tiktokshop', 'ada']",kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada,2,positif
23,2023-10-05T07:57:59Z,@POKEMONGO-ic9cs,saya mah tutup apa tidak tidak ada ruginya buat saya.. ongkir mahal,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,"['saya', 'mah', 'tutup', 'apa', 'tidak', 'tidak', 'ada', 'ruginya', 'buat', 'saya', 'ongkir', 'mahal']",saya mah tutup apa tidak tidak ada rugi buat saya ongkir mahal,-20,negatif
24,2023-10-05T07:11:51Z,@Vijay-xv4kx,Kan masih ada shopee wkwkwk 😁,kan masih ada shopee wkwkwk ,kan masih ada shopee wkwkwk ,"['kan', 'masih', 'ada', 'shopee', 'wkwkwk']",kan masih ada shopee wkwkwk,7,positif
26,2023-10-05T06:28:33Z,@bapauda6840,"Blokir saja tiktoknya  sekalian,tontonan merusak moral anak2",blokir saja tiktoknya  sekaliantontonan merusak moral anak,blokir saja tiktoknya  sekaliantontonan merusak moral anak,"['blokir', 'saja', 'tiktoknya', 'sekaliantontonan', 'merusak', 'moral', 'anak']",blokir saja tiktoknya sekaliantontonan rusak moral anak,-2,negatif
28,2023-10-05T06:16:14Z,@bapauda6840,"Tutup tiktok, tidak perlu lagi ada tiktok shop, dan online shop lainnya harus diperhatikan harganya, online harus bayar pajak  yang tinggi, harus ada ongkir, dan produsen tidak boleh jualan di online, diecer, harga grosir, gratis ongkir pula",tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak  yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak  yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,"['tutup', 'tiktok', 'tidak', 'perlu', 'lagi', 'ada', 'tiktok', 'shop', 'dan', 'online', 'shop', 'lainnya', 'harus', 'diperhatikan', 'harganya', 'online', 'harus', 'bayar', 'pajak', 'yang', 'tinggi', 'harus', 'ada', 'ongkir', 'dan', 'produsen', 'tidak', 'boleh', 'jualan', 'di', 'online', 'diecer', 'harga', 'grosir', 'gratis', 'ongkir', 'pula']",tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lain harus perhati harga online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jual di online ecer harga grosir gratis ongkir pula,-17,negatif
29,2023-10-05T06:52:18Z,@nozerumahgaya,"saya sebagai pelaku UMKM sangat setuju,untuk menjaga harga agar tetep stabil alangkah bagusnya klo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya,jadi tidak saling memberatkan sebagai penjual online dan penjual offline",saya sebagai pelaku umkm sangat setujuuntuk menjaga harga agar tetep stabil alangkah bagusnya klo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nyajadi tidak saling memberatkan sebagai penjual online dan penjual offline,saya sebagai pelaku umkm sangat setujuuntuk menjaga harga agar tetap stabil alangkah bagusnya kalo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nyajadi tidak saling memberatkan sebagai penjual online dan penjual offline,"['saya', 'sebagai', 'pelaku', 'umkm', 'sangat', 'setujuuntuk', 'menjaga', 'harga', 'agar', 'tetap', 'stabil', 'alangkah', 'bagusnya', 'kalo', 'online', 'shope', 'di', 'kenai', 'pajak', 'tetapi', 'sewajar', 'nya', 'saja', 'untuk', 'pajak', 'nyajadi', 'tidak', 'saling', 'memberatkan', 'sebagai', 'penjual', 'online', 'dan', 'penjual', 'offline']",saya bagai laku umkm sangat setujuuntuk jaga harga agar tetap stabil alangkah bagus kalo online shope di kena pajak tetapi wajar nya saja untuk pajak nyajadi tidak saling berat bagai jual online dan jual offline,2,positif
30,2023-10-07T05:36:53Z,@desinovitasari2854,Ini zaman modern apa harus Papua datang ke Jakarta belanja kenapa online ditutup semua,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,"['ini', 'zaman', 'modern', 'apa', 'harus', 'papua', 'datang', 'ke', 'jakarta', 'belanja', 'kenapa', 'online', 'ditutup', 'semua']",ini zaman modern apa harus papua datang ke jakarta belanja kenapa online tutup semua,-12,negatif
31,2023-10-05T06:10:36Z,@bapauda6840,"Kasihan pedagang yang sudah sewa toko sepi, gara2 tiktok, harga murah bikin hancur umkm, barang cina banjir, konveksi banyak yang gulung tikar, ingat pertukaran uang tidak merata,parahnya lagi produsen ikut jualan di online",kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merataparahnya lagi produsen ikut jualan di online,kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merataparahnya lagi produsen ikut jualan di online,"['kasihan', 'pedagang', 'yang', 'sudah', 'sewa', 'toko', 'sepi', 'gara', 'tiktok', 'harga', 'murah', 'bikin', 'hancur', 'umkm', 'barang', 'cina', 'banjir', 'konveksi', 'banyak', 'yang', 'gulung', 'tikar', 'ingat', 'pertukaran', 'uang', 'tidak', 'merataparahnya', 'lagi', 'produsen', 'ikut', 'jualan', 'di', 'online']",kasihan dagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat tukar uang tidak merataparahnya lagi produsen ikut jual di online,-1,negatif
32,2023-10-17T06:20:02Z,@cargiewinata1963,Mereka beli di Alibaba kali bukan dari orang Indonesia langsung dari website orang luar Alibaba,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,"['mereka', 'beli', 'di', 'alibaba', 'kali', 'bukan', 'dari', 'orang', 'indonesia', 'langsung', 'dari', 'website', 'orang', 'luar', 'alibaba']",mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,-4,negatif
33,2023-10-05T06:04:48Z,@yayatsupriatna9612,"Dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak, tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak…",dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,"['dampaknya', 'bukan', 'hanya', 'seller', 'juga', 'tetapi', 'kurir', 'yang', 'sudah', 'bekerjasama', 'dengan', 'tiktok', 'juga', 'terdampak', 'tanah', 'abang', 'cuma', 'ribuan', 'orang', 'tiktok', 'jutaaan', 'orang', 'yang', 'terdampak']",dampak bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga dampak tanah abang cuma ribu orang tiktok jutaaan orang yang dampak,-25,negatif
34,2023-10-08T16:54:37Z,@adonkiting889,"Inilah ciri2 manusia tidak tau apa2 ekonomi indonesia,hanya mikir kan ekonomi perut nya sendiri. Fikir!!",inilah ciri manusia tidak tau apa ekonomi indonesiahanya mikir kan ekonomi perut nya sendiri fikir,inilah ciri manusia tidak tau apa ekonomi indonesiahanya mikir kan ekonomi perut nya sendiri fikir,"['inilah', 'ciri', 'manusia', 'tidak', 'tau', 'apa', 'ekonomi', 'indonesiahanya', 'mikir', 'kan', 'ekonomi', 'perut', 'nya', 'sendiri', 'fikir']",ini ciri manusia tidak tau apa ekonomi indonesiahanya mikir kan ekonomi perut nya sendiri fikir,-7,negatif
35,2023-10-05T05:56:14Z,@namina5005,"Ini fair menurutku, karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar2 akan membeli sesuatu. Kalau di tiktok kan tidak, awalnya cuma sekedar nonton2 saja karena pas geser2 ada yang jualan jadi belanja deh.",ini fair menurutku karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar nonton saja karena pas geser ada yang jualan jadi belanja deh,ini fair menurutku karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar menonton saja karena pas geser ada yang jualan jadi belanja deh,"['ini', 'fair', 'menurutku', 'karena', 'kalo', 'ada', 'di', 'ecommerce', 'yang', 'resmi', 'jelas', 'mereka', 'yang', 'buka', 'ecommerce', 'tersebut', 'adalah', 'orang', 'yang', 'benar', 'akan', 'membeli', 'sesuatu', 'kalau', 'di', 'tiktok', 'kan', 'tidak', 'awalnya', 'cuma', 'sekedar', 'menonton', 'saja', 'karena', 'pas', 'geser', 'ada', 'yang', 'jualan', 'jadi', 'belanja', 'deh']",ini fair turut karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce sebut adalah orang yang benar akan beli sesuatu kalau di tiktok kan tidak awal cuma dar tonton saja karena pas geser ada yang jual jadi belanja deh,-14,negatif
36,2023-10-05T05:53:33Z,@yuliazidane7792,Jujur untuk emak2 kayak aku kecewa banget tiktokshop ditutup.. karena tidak perlu rempong panas2n bawa anak2 ke pasar buat belanja... Dan tentunya belanja di offline jauh besar ongkosnya...  Tetapi gapapa masih ada shopee dan lazada .. Intinya malsa banget belanja kudu nyamperin toko..,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu rempong panasn bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya  tetapi gapapa masih ada shopee dan lazada  intinya malsa banget belanja kudu nyamperin toko,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu repot panasn bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya  tetapi gapapa masih ada shopee dan lazada  intinya malsa banget belanja kudu nyamperin toko,"['jujur', 'untuk', 'emak', 'kayak', 'aku', 'kecewa', 'banget', 'tiktokshop', 'ditutup', 'karena', 'tidak', 'perlu', 'repot', 'panasn', 'bawa', 'anak', 'ke', 'pasar', 'buat', 'belanja', 'dan', 'tentunya', 'belanja', 'di', 'offline', 'jauh', 'besar', 'ongkosnya', 'tetapi', 'gapapa', 'masih', 'ada', 'shopee', 'dan', 'lazada', 'intinya', 'malsa', 'banget', 'belanja', 'kudu', 'nyamperin', 'toko']",jujur untuk emak kayak aku kecewa banget tiktokshop tutup karena tidak perlu repot panasn bawa anak ke pasar buat belanja dan tentu belanja di offline jauh besar ongkos tetapi gapapa masih ada shopee dan lazada inti malsa banget belanja kudu nyamperin toko,-2,negatif
37,2023-10-05T05:51:08Z,@oktara8532,"Ngelive kaum milenial, masa tidak bisa bedain mana yang legal mana yang illegal. Pindah aja ke platform yang sudah resmi. Kayak mau kiamat aja",ngelive kaum milenial masa tidak bisa bedain mana yang legal mana yang illegal pindah aja ke platform yang sudah resmi kayak mau kiamat aja,ngelive kaum milenial masa tidak bisa membedakan mana yang legal mana yang illegal pindah saja ke platform yang sudah resmi kayak mau kiamat saja,"['ngelive', 'kaum', 'milenial', 'masa', 'tidak', 'bisa', 'membedakan', 'mana', 'yang', 'legal', 'mana', 'yang', 'illegal', 'pindah', 'saja', 'ke', 'platform', 'yang', 'sudah', 'resmi', 'kayak', 'mau', 'kiamat', 'saja']",ngelive kaum milenial masa tidak bisa beda mana yang legal mana yang illegal pindah saja ke platform yang sudah resmi kayak mau kiamat saja,-23,negatif
39,2023-10-05T05:41:50Z,@benibeni7457,"Mantap.  Setuju. Bangetttttt    ditutup. ,  biar. Indonesia. tidak. Di jajah terus",mantap  setuju bangetttttt    ditutup   biar indonesia tidak di jajah terus,mantap  setuju banget    ditutup   biar indonesia tidak di jajah terus,"['mantap', 'setuju', 'banget', 'ditutup', 'biar', 'indonesia', 'tidak', 'di', 'jajah', 'terus']",mantap tuju banget tutup biar indonesia tidak di jajah terus,-2,negatif
41,2023-10-05T05:53:35Z,@dvinostory2154,Tinggalnya satu kolam masalahnya,tinggalnya satu kolam masalahnya,tinggalnya satu kolam masalahnya,"['tinggalnya', 'satu', 'kolam', 'masalahnya']",tinggal satu kolam masalah,-3,negatif
42,2023-10-05T05:38:02Z,@rajekkynsasmita4440,Artis tajir melintir...ikut ikutan sih...jadi ya titokshop dapat imbas ya ...🥴🥴🤣,artis tajir melintirikut ikutan sihjadi ya titokshop dapat imbas ya ,artis tajir melintirikut ikutan sihjadi ya titokshop dapat imbas ya ,"['artis', 'tajir', 'melintirikut', 'ikutan', 'sihjadi', 'ya', 'titokshop', 'dapat', 'imbas', 'ya']",artis tajir melintirikut ikut sihjadi ya titokshop dapat imbas ya,5,positif
43,2023-10-05T05:27:39Z,@ramdanipermana3763,saya bodo amat  karna saya dari dulu tidak maen tiktok 😂,saya bodo amat  karna saya dari dulu tidak maen tiktok ,saya bodo amat  karena saya dari dulu tidak main tiktok ,"['saya', 'bodo', 'amat', 'karena', 'saya', 'dari', 'dulu', 'tidak', 'main', 'tiktok']",saya bodo amat karena saya dari dulu tidak main tiktok,-16,negatif
